Student Assign-01 Assign-02 Assign-03 Assign-05 Assign-05
Leo 76.57537546839963 63.899543028615504 80.07433995539151 51.11104521702515 58.156748545867735
Melissa 92.6296334745504 71.61225735069455 74.34717166352745 78.26196084421201 61.552397293151834
Angel 70.05418832503716 88.69376482454342 71.95321284248773 67.5463024264864 69.92112762835613
Ferdaws 53.978439908975204 76.92393046339612 72.02699660240923 90.49795780667822 69.92112762835613
Cali 80.07433995539151 82.71753776862641 86.0026838533619 79.6855111355699 82.46340060870963
Mitchell 90.12511207293005 69.92112762835613 55.55891758043539 91.66771003610914 70.94539318936488
Ola 82.17325955842324 76.83440062764139 65.71748894373029 82.52403589408627 92.66450938694992
Ze 84.7489440083995 75.50170172870074 73.14774566714105 63.069814740605516 65.12304504880231
Alvin 68.04793114441611 67.53971675388509 72.02699660240923 94.0703532619417 71.95321284248773
Cassandra 100.5178422076304 92.66450938694992 63.72209797432312 71.95321284248773 57.9502262919472
Nicole 74.3547866351293 62.99436288175759 70.16955968439093 77.19662950399598 82.57291790173942
Maria 60.34122069745034 80.16597376050257 74.19980182842183 80.43471335910995 79.6855111355699
Patricia 74.80949549898821 62.499157908822845 74.34717166352745 82.74356586040585 72.02699660240923
Fady 82.17325955842324 80.07433995539151 74.80949549898821 59.72090644471547 69.3018251737456
Mohammed 70.31619408893849 75.18946456229318 70.05418832503716 88.69376482454342 75.45072630149913
